relation_id,relation_name
0,Is_Member_Of
1,Produce
2,Use
3,Control
4,Develop
5,Has
6,Bring
7,Include
8,Operate_In
9,Positive_Impact_On
10,Announce
11,Work_With
12,Enhance
13,Found
14,Invent
15,Spark
16,Redefine
17,Ignite
18,Fuel
19,Full-Stack Computing Infrastructure Company
20,Reshape
21,Relate_To
22,Participates_In
23,Collaborate_With
24,Enable
25,Build_And_Run
26,On
27,At
28,And
29,Than
30,Adopt
31,Offer
32,For
33,To
34,Globally
35,Optimize
36,Make
37,Belong_To
38,Co-develop
39,Best_Place_For
40,Decrease
41,Widespread_Adoption
