file_id,origin.filename,doc.name
01ff81b6-b8cc-43a1-bfc3-d316bbaba0d9.json,History_and_Origins_Farnham_Craft_Town.pdf,History_and_Origins_Farnham_Craft_Town
0ba43538-7e16-4391-a50e-d9cf1305dc66.json,Watts_Cemetery_Chapel_Wikipedia.pdf,Watts_Cemetery_Chapel_Wikipedia
0d3ee295-0ce1-46a1-b8b8-61d94bc92a6d.json,The_conservation_of_Watts_Chapel_Watts_Gallery.pdf,The_conservation_of_Watts_Chapel_Watts_Gallery
16a82dde-6ea2-4adc-b4bd-f36cf81a879a.json,East_Garden_Wall_to_Willmer_House_Facing_on_to_Bishops_Mead_Farnham_1273425_Historic_England.pdf,East_Garden_Wall_to_Willmer_House_Facing_on_to_Bishops_Mead_Farnham_1273425_Historic_England
16da83e1-9c82-42d8-af43-2f99e4693cc8.json,Farnham_Library_Vernon_House_Farnham_1258122_Historic_England.pdf,Farnham_Library_Vernon_House_Farnham_1258122_Historic_England
1b61b266-6e12-4040-8337-f896fa4fe25f.json,Watts Cemetery Chapel _ Watts Gallery.pdf,Watts Cemetery Chapel _ Watts Gallery
1d4e223d-9a5a-4ba6-9f63-57fde95e5aa8.json,,Document
2e7117ee-f7a2-47e3-9f89-778f75b0b28b.json,Farnham_Wikipedia.pdf,Farnham_Wikipedia
31a34c43-db32-45ec-9134-68ef2acdc335.json,Museum_of_Farnham_Wikipedia.pdf,Museum_of_Farnham_Wikipedia
4a5b7226-c80c-4c5d-aa4e-937d4e95b76c.json,Grade II_listed_buildings_in_Waverley_Surrey_Wikipedia.pdf,Grade II_listed_buildings_in_Waverley_Surrey_Wikipedia
5b8a3a97-4d62-40e8-be6d-c432b413f576.json,Well_Head_in_Grounds_of_Watts_Memorial_Chapel_Compton_1188387_Historic_England.pdf,Well_Head_in_Grounds_of_Watts_Memorial_Chapel_Compton_1188387_Historic_England
5e62d730-788f-4e2c-82b0-6641cbe187c0.json,Willmer_House_Farnham_1258470_Historic_England.pdf,Willmer_House_Farnham_1258470_Historic_England
5ec18f08-7084-407e-91e5-8200b2f2d02b.json,Wrought_Iron_Screen_Before_Forecourt_to_Vernon_House_Farnham_1259745_Historic_England.pdf,Wrought_Iron_Screen_Before_Forecourt_to_Vernon_House_Farnham_1259745_Historic_England
6b0009df-2768-4600-a0c9-cac537d2b7b0.json,Our_Story_Farnham_District_Museum_Society.pdf,Our_Story_Farnham_District_Museum_Society
797ddd18-aec0-4af4-bc97-ca8e45ab7564.json,Watts_Chapel_Alexi_Francis.pdf,Watts_Chapel_Alexi_Francis
7c6b5ce9-0a78-4ec0-8e08-ff4656ba6410.json,Watts_Chapel_Surrey_Fold_Gently.pdf,Watts_Chapel_Surrey_Fold_Gently
85ea21f4-e2ae-40dd-8dc4-7686e7912e0a.json,Watts_Chapel_Compton_Village_Website.pdf,Watts_Chapel_Compton_Village_Website
92372f14-cfff-468a-a9cf-4715030d7c53.json,Discover_the_Watts_Gallery_and_Memorial_Chapel_Surrey.pdf,Discover_the_Watts_Gallery_and_Memorial_Chapel_Surrey
a7786f32-966d-44a1-9f26-5c90355c7804.json,Inside_Watts_Chapel_ a_little_known_Arts_and_Crafts_delight_THE_WORLD_OF_INTERIORS.pdf,Inside_Watts_Chapel_ a_little_known_Arts_and_Crafts_delight_THE_WORLD_OF_INTERIORS
aec484a8-eee8-43bc-98ab-8c5ff217643b.json,A_brief_history_of_Willmer_House_ home_of_the_Museum_of_Farnham_Farnham_Maltings.pdf,A_brief_history_of_Willmer_House_ home_of_the_Museum_of_Farnham_Farnham_Maltings
bbdbd7aa-d5e8-4e70-afcf-e8c95df8b1ce.json,Willmer_House.pdf,Willmer_House
bf19fe4b-a606-4b08-a9c5-d4ec33150c17.json,Famous_people_The_Farnham_Society.pdf,Famous_people_The_Farnham_Society
c87629cb-1c5a-4b96-99b0-df7715e91094.json,Farnham_Surrey_history.pdf,Farnham_Surrey_history
c9ad22a4-a096-4fc4-b591-03b2acf55eba.json,Willmer_House_Wikipedia.pdf,Willmer_House_Wikipedia
e8f886da-70af-4cc5-8436-e8487f779785.json,7_Farnham.pdf,7_Farnham
f1d5981a-bc0c-4480-811e-7141590c6418.json,Willmer_House_Museum_38_West_Street_Farnham_Surrey_Archaeological_Society.pdf,Willmer_House_Museum_38_West_Street_Farnham_Surrey_Archaeological_Society
f9eee0fe-7c00-4ee1-b263-3b08e47562c4.json,"Watts Memorial Chapel, Compton - 1029541 _ Historic England.pdf","Watts Memorial Chapel, Compton - 1029541 _ Historic England"
